run,model,method,n_test,accuracy,precision,recall,f1,parse_failure_rate,cwe_correct_rate,location_correct_rate
full_c250_qwen2_5_coder_0_5b_prompt_v2_binary_locked,qwen2.5-coder:0.5b,baseline,150,0.41333333333333333,0.6071428571428571,0.34,0.4358974358974359,0.013333333333333334,0.17333333333333334,0.17333333333333334
full_c250_qwen2_5_coder_0_5b_prompt_v2_binary_locked,qwen2.5-coder:0.5b,errorlock,150,0.4066666666666667,0.5964912280701754,0.34,0.43312101910828027,0.006666666666666667,0.21333333333333335,0.18
full_c250_qwen2_5_coder_0_5b_rag_memory_limit20,qwen2.5-coder:0.5b,baseline,20,0.65,0.6842105263157895,0.9285714285714286,0.7878787878787878,0.0,0.0,0.0
full_c250_qwen2_5_coder_0_5b_rag_memory_limit20,qwen2.5-coder:0.5b,errorlock,20,0.65,0.6842105263157895,0.9285714285714286,0.7878787878787878,0.0,0.0,0.0
full_c250_qwen2_5_coder_0_5b_selective_override,qwen2.5-coder:0.5b,baseline,150,0.64,0.6666666666666666,0.92,0.773109243697479,0.006666666666666667,0.02666666666666667,0.02666666666666667
full_c250_qwen2_5_coder_0_5b_selective_override,qwen2.5-coder:0.5b,errorlock,150,0.64,0.6666666666666666,0.92,0.773109243697479,0.006666666666666667,0.2,0.04666666666666667
full_c250_qwen2_5_coder_0_5b_smart_safe_gated,qwen2.5-coder:0.5b,baseline,150,0.64,0.6666666666666666,0.92,0.773109243697479,0.006666666666666667,0.02666666666666667,0.02666666666666667
full_c250_qwen2_5_coder_0_5b_smart_safe_gated,qwen2.5-coder:0.5b,errorlock,150,0.64,0.6666666666666666,0.92,0.773109243697479,0.006666666666666667,0.2,0.04666666666666667
full_c250_qwen2_5_coder_0_5b_smart_safe_gated_binary_locked,qwen2.5-coder:0.5b,baseline,150,0.64,0.6666666666666666,0.92,0.773109243697479,0.006666666666666667,0.02666666666666667,0.02666666666666667
full_c250_qwen2_5_coder_0_5b_smart_safe_gated_binary_locked,qwen2.5-coder:0.5b,errorlock,150,0.64,0.6666666666666666,0.92,0.773109243697479,0.006666666666666667,0.2,0.04666666666666667
full_c250_qwen2_5_coder_0_5b_top3_current_prompt_limit20,qwen2.5-coder:0.5b,baseline,20,0.65,0.6842105263157895,0.9285714285714286,0.7878787878787878,0.0,0.0,0.0
full_c250_qwen2_5_coder_0_5b_top3_current_prompt_limit20,qwen2.5-coder:0.5b,errorlock,20,0.65,0.6842105263157895,0.9285714285714286,0.7878787878787878,0.0,0.0,0.0
full_c250_qwen2_5_coder_1_5b_smart_safe_gated,qwen2.5-coder:1.5b,baseline,150,0.6466666666666666,0.6910569105691057,0.85,0.7623318385650224,0.0,0.12666666666666668,0.08
full_c250_qwen2_5_coder_1_5b_smart_safe_gated,qwen2.5-coder:1.5b,errorlock,150,0.6466666666666666,0.6942148760330579,0.84,0.7601809954751131,0.0,0.22666666666666666,0.08666666666666667
full_c250_qwen2_5_coder_1_5b_smart_safe_gated_binary_locked,qwen2.5-coder:1.5b,baseline,150,0.6466666666666666,0.6910569105691057,0.85,0.7623318385650224,0.0,0.12666666666666668,0.08
full_c250_qwen2_5_coder_1_5b_smart_safe_gated_binary_locked,qwen2.5-coder:1.5b,errorlock,150,0.6466666666666666,0.6910569105691057,0.85,0.7623318385650224,0.0,0.22,0.08
llama3_2_1b_limit20_smart_safe_gated,llama3.2:1b,baseline,12,0.75,0.8571428571428571,0.75,0.8,0.0,0.25,0.25
llama3_2_1b_limit20_smart_safe_gated,llama3.2:1b,errorlock,12,0.75,0.8571428571428571,0.75,0.8,0.0,0.25,0.25
mock_all_memory_smoke,mock-rule-detector,baseline,2,1.0,1.0,1.0,1.0,0.0,1.0,0.5
mock_all_memory_smoke,mock-rule-detector,errorlock,2,1.0,1.0,1.0,1.0,0.0,1.0,0.5
mock_gated_smoke,mock-rule-detector,baseline,2,1.0,1.0,1.0,1.0,0.0,1.0,0.5
mock_gated_smoke,mock-rule-detector,errorlock,2,1.0,1.0,1.0,1.0,0.0,1.0,0.5
mock_rag_smoke,mock-rule-detector,baseline,2,1.0,1.0,1.0,1.0,0.0,1.0,0.5
mock_rag_smoke,mock-rule-detector,errorlock,2,1.0,1.0,1.0,1.0,0.0,1.0,0.5
mock_smoke,mock-rule-detector,baseline,2,1.0,1.0,1.0,1.0,0.0,1.0,0.5
mock_smoke,mock-rule-detector,errorlock,2,1.0,1.0,1.0,1.0,0.0,1.0,0.5
phi3_mini_limit20_smart_safe_gated,phi3:mini,baseline,12,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,0.0,0.0
phi3_mini_limit20_smart_safe_gated,phi3:mini,errorlock,12,0.75,0.7272727272727273,1.0,0.8421052631578947,0.0,0.08333333333333333,0.08333333333333333
qwen2_5_coder_0_5b_limit20,qwen2.5-coder:0.5b,baseline,12,0.5833333333333334,0.6363636363636364,0.875,0.7368421052631579,0.0,0.0,0.0
qwen2_5_coder_0_5b_limit20,qwen2.5-coder:0.5b,errorlock,12,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,0.5,0.0
qwen2_5_coder_0_5b_limit20_smart_safe_gated,qwen2.5-coder:0.5b,baseline,12,0.5833333333333334,0.6363636363636364,0.875,0.7368421052631579,0.0,0.0,0.0
qwen2_5_coder_0_5b_limit20_smart_safe_gated,qwen2.5-coder:0.5b,errorlock,12,0.5833333333333334,0.6363636363636364,0.875,0.7368421052631579,0.0,0.4166666666666667,0.0
qwen2_5_coder_0_5b_limit20_topk1,qwen2.5-coder:0.5b,baseline,12,0.5833333333333334,0.6363636363636364,0.875,0.7368421052631579,0.0,0.0,0.0
qwen2_5_coder_0_5b_limit20_topk1,qwen2.5-coder:0.5b,errorlock,12,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,0.5833333333333334,0.0
qwen2_5_coder_0_5b_limit20_topk5,qwen2.5-coder:0.5b,baseline,12,0.5833333333333334,0.6363636363636364,0.875,0.7368421052631579,0.0,0.0,0.0
qwen2_5_coder_0_5b_limit20_topk5,qwen2.5-coder:0.5b,errorlock,12,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,0.6666666666666666,0.0
qwen2_5_coder_1_5b_limit20,qwen2.5-coder:1.5b,baseline,12,0.75,0.7777777777777778,0.875,0.8235294117647058,0.0,0.5,0.16666666666666666
qwen2_5_coder_1_5b_limit20,qwen2.5-coder:1.5b,errorlock,12,0.5833333333333334,0.6363636363636364,0.875,0.7368421052631579,0.0,0.5833333333333334,0.0
qwen2_5_coder_1_5b_limit20_gated,qwen2.5-coder:1.5b,baseline,12,0.75,0.7777777777777778,0.875,0.8235294117647058,0.0,0.5,0.16666666666666666
qwen2_5_coder_1_5b_limit20_gated,qwen2.5-coder:1.5b,errorlock,12,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,0.4166666666666667,0.0
qwen2_5_coder_1_5b_limit20_smart_gated,qwen2.5-coder:1.5b,baseline,12,0.75,0.7777777777777778,0.875,0.8235294117647058,0.0,0.5,0.16666666666666666
qwen2_5_coder_1_5b_limit20_smart_gated,qwen2.5-coder:1.5b,errorlock,12,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,0.5833333333333334,0.0
qwen2_5_coder_1_5b_limit20_smart_safe_gated,qwen2.5-coder:1.5b,baseline,12,0.75,0.7777777777777778,0.875,0.8235294117647058,0.0,0.5,0.16666666666666666
qwen2_5_coder_1_5b_limit20_smart_safe_gated,qwen2.5-coder:1.5b,errorlock,12,0.75,0.7777777777777778,0.875,0.8235294117647058,0.0,0.6666666666666666,0.16666666666666666
qwen2_5_coder_1_5b_limit20_smart_safe_gated_rerun,qwen2.5-coder:1.5b,baseline,12,0.75,0.7777777777777778,0.875,0.8235294117647058,0.0,0.5,0.16666666666666666
qwen2_5_coder_1_5b_limit20_smart_safe_gated_rerun,qwen2.5-coder:1.5b,errorlock,12,0.75,0.7777777777777778,0.875,0.8235294117647058,0.0,0.6666666666666666,0.16666666666666666
