model,dataset,method,total,parsed,parsed_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,tn,fp,fn,tp
qwen25_coder_7b,CASTLE_all_250,A_baseline,250,237,0.948,0.6498,0.6249,0.6085,0.6096,0.6382,0.6498,0.6376,39,53,30,115
qwen25_coder_7b,CASTLE_heldout_50,B0_baseline_on_heldout,50,47,0.94,0.6809,0.6863,0.6727,0.6713,0.685,0.6809,0.6749,12,10,5,20
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,50,50,1.0,0.58,0.5812,0.58,0.5785,0.5812,0.58,0.5785,16,9,12,13
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,250,250,1.0,0.632,0.6362,0.6417,0.6296,0.6573,0.632,0.6356,69,31,61,89
qwen25_coder_7b,Juliet_overlap_250,E_baseline,250,249,0.996,0.6867,0.766,0.6878,0.6623,0.7666,0.6867,0.6619,52,73,5,119
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,250,250,1.0,0.824,0.8411,0.824,0.8218,0.8411,0.824,0.8218,89,36,8,117
