model,dataset,method,total,parsed,parsed_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,tn,fp,fn,tp
qwen25_coder_7b,CASTLE_all_250,A_baseline,250,237,0.948,0.6497890295358649,0.6248706004140787,0.6085082458770614,0.6096481654198004,0.6382107695398834,0.6497890295358649,0.6376411364481086,39,53,30,115
qwen25_coder_7b,CASTLE_heldout_50,B0_baseline_on_heldout,50,47,0.94,0.6808510638297872,0.6862745098039216,0.6727272727272727,0.6713286713286714,0.6850229453483521,0.6808510638297872,0.6748995685165898,12,10,5,20
qwen25_coder_7b,CASTLE_heldout_50,B_errorlock_train_split,50,50,1.0,0.58,0.5811688311688312,0.5800000000000001,0.5784825371336813,0.5811688311688311,0.58,0.5784825371336813,16,9,12,13
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,250,250,1.0,0.632,0.6362179487179487,0.6416666666666666,0.6296296296296295,0.6573076923076924,0.632,0.6355555555555555,69,31,61,89
qwen25_coder_7b,Juliet_overlap_250,E_baseline,250,249,0.996,0.6867469879518072,0.7660361842105263,0.6878387096774193,0.6622965641952984,0.7666235115902204,0.6867469879518072,0.6619316324974399,52,73,5,119
qwen25_coder_7b,Juliet_overlap_250,F_errorlock_from_castle,250,250,1.0,0.824,0.8411158277744086,0.8240000000000001,0.8217642102534188,0.8411158277744086,0.824,0.821764210253419,89,36,8,117
